id,brand,car_model,type,desc,problem,datetime,status
486444,东风本田,本田XR-V,2020款 220 TURBO CVT 豪华版,东风本田XR-V行驶中底盘装甲突然掉落,"J299,J304,",2020-06-20,用户评分
486442,上汽大众,途观,2012款 1.4TSI 手动 两驱 都会版,上汽大众途观4S店用外采件充当原装配件,"N319,",2020-06-20,信息审核
486441,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越车机升级不兑现 出现死机,"H155,L314,",2020-06-20,处理反馈
486433,广汽本田,皓影,2020款 锐·混动 2.0L 两驱 锐·豪华版,广汽本田皓影后视镜玻璃脱落厂家拒绝更换,"H211,",2020-06-20,处理反馈
486432,长安汽车,长安UNI-T,2020款 1.5T 尊贵型,长安UNI-T主驾驶化妆灯与宣传不符,"Q350,",2020-06-20,厂家受理
486431,吉利汽车,帝豪,2016款 1.5L 手动 向上版 三厢,吉利帝豪转向抖动异响 减震器漏油 车窗漏风,"D80,G25,H144,",2020-06-20,处理反馈
486430,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越车机无法升级 车窗漏风 刹车异响,"E43,H144,L314,",2020-06-20,处理反馈
486427,吉利汽车,远景,2020款 1.5L CVT 亚运版,吉利远景胎压监测系统疑似简配,"Q350,",2020-06-20,处理反馈
486423,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸半轴油封漏油要求免费更换,"G51,",2020-06-20,信息审核
486422,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际车机系统版本低无法使用,"M279,",2020-06-20,处理反馈
486421,长安汽车,逸动XT,2016款 1.6L GDI 自动 锐酷型 XT,长安逸动XT变速箱挂入P挡后卡死,"B184,",2020-06-20,处理反馈
486418,广汽丰田,丰田C-HR,2018款 2.0L 领先天窗版 国VI,广汽丰田C-HR邓禄普轮胎外侧出现裂纹,"F100,",2020-06-20,厂家受理
486417,东风雪铁龙,爱丽舍,2018款 1.6L 手动 时尚型,东风雪铁龙爱丽舍刹车片异常磨损,"E47,",2020-06-20,处理反馈
486416,北京现代,菲斯塔,2019款 280TGDi 运动版 国V,北京现代菲斯塔天窗异响 蓝牙断开,"H155,H89,",2020-06-20,信息审核
486415,东风风行,风行M6,2019款 1.5T 手动 长轴尊享型 7座,东风风行M6离合器漏油4店推脱不处理,"C207,",2020-06-20,处理反馈
486414,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮希望尽快处理,"H82,",2020-06-20,处理反馈
486413,猎豹汽车,Mattu,2018款 1.6T GDI DCT 精英型,猎豹Mattu发动机故障变速箱无动力输出,"A34,B246,H170,",2020-06-20,信息审核
486411,广汽丰田,凯美瑞,2018款 2.5HG E-CVT 豪华版,广汽丰田凯美瑞机油增多无法解决,"A339,",2020-06-20,厂家受理
486409,一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国V,一汽大众探岳大灯照明度不足 灯泡出现雾化,"H82,",2020-06-20,处理反馈
486400,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机与宣传不符出现死机现象,"H155,M279,",2020-06-20,处理反馈
486396,一汽-大众,宝来,2014款 1.6L 自动 时尚型,一汽大众宝来车内进水4S店找不到原因,"H109,",2020-06-20,处理反馈
486395,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,广汽本田雅阁电子手刹异响需要尽快处理,"E43,E159,",2020-06-20,处理反馈
486392,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越门窗漏风 车机版本老旧,"H144,L314,",2020-06-20,处理反馈
486391,上汽通用五菱,五菱宏光,2019款 1.5L S 舒适型 国VI LAR,上汽通用五菱宏光行驶中突然熄火,"A14,",2020-06-20,处理反馈
486388,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机故障灯多次报警,"A34,",2020-06-20,处理反馈
486387,上汽集团,荣威350,2010款 1.5 手动 讯驰版 350S,上汽荣威350空调冷热风无法切换,"H101,",2020-06-20,信息审核
486386,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机正时链条套件故障,"A45,",2020-06-20,处理反馈
486385,星途,星途LX,2019款 1.6T 星睿版,星途LX发动机与变速箱连接处漏油,"A12,B22,",2020-06-20,信息审核
486383,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越门窗漏风 车机版本老旧,"H144,L314,",2020-06-20,处理反馈
486379,长安马自达,马自达3 昂克赛拉,2017款 2.0L 自动 旗舰型 三厢 国V,长安马自达昂克赛拉后视镜自动折叠功能失灵,"H211,",2020-06-20,厂家受理
486378,野马汽车,野马T70,2016款 1.5T 手动 豪华型 升级版,野马T70倒车影像不显示黑屏厂家无配件,"H134,N318,",2020-06-20,处理反馈
486377,广汽讴歌,讴歌CDX,2019款 1.5T 两驱 尊享版,广汽讴歌CDX变速箱顿挫车顶钢板太软,"B19,Q322,",2020-06-20,处理反馈
486376,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5空调制冷效果差存在质量问题,"H101,",2020-06-20,处理反馈
486375,广汽本田,缤智,2020款 1.5L CVT 先锋版,广汽本田缤智优科豪马轮胎漏气售后不予质保,"F41,",2020-06-20,用户评分
486372,上汽通用五菱,新宝骏RS-5,2019款 1.5T CVT 智能驾控豪华版 国V,新宝骏RS-5玲珑轮胎龟裂 起皮严重,"F100,F186,",2020-06-20,处理反馈
486368,东南汽车,东南DX3,2018款 1.5L 手动 尊贵型,东南DX3离合器异响4S店维修后未解决,"C65,",2020-06-20,处理反馈
486361,东风悦达起亚,凯绅,2019款 1.8L 自动 GLS,东风悦达起亚凯绅后备箱盖生锈严重,"H79,",2020-06-20,处理反馈
486353,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机与宣传不符 中控台异响,"H93,M279,",2020-06-20,处理反馈
486352,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控导航屏幕无故脱胶,"H134,H168,",2020-06-20,厂家受理
486351,长安汽车,长安CS55 PLUS,2020款 1.5T 自动 炫色型,长安CS55 PLUS起步3100转换挡 悬挂异响,"B69,G204,",2020-06-20,用户评分
486350,东风启辰,启辰D60,2019款 十万荣耀 1.6L Entry 手动 辰尚版 国VI,启辰D60后轮眉位置掉漆生锈存在质量问题,"H79,H81,",2020-06-20,信息审核
486349,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越刹车异响变速箱挂挡顿挫严重,"B19,E43,",2020-06-20,用户评分
486347,华晨宝马,宝马3系,2017款 320i M 运动型,宝马3系冷却液水管断裂发动机高温报警,"A37,A191,H168,",2020-06-20,信息审核
486342,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越手机APP无法控制车窗及定位,"H155,",2020-06-20,处理反馈
486341,众泰汽车,众泰SR9,2017款 2.0T 自动 极致之梦版,众泰SR9行驶中变速箱异响挂挡无法行驶,"B33,B334,",2020-06-20,处理反馈
486339,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸刹车异响 变速箱异响,"B33,E43,",2020-06-20,厂家受理
486336,上汽大众,朗逸,2018款 280TSI DSG豪华版 两厢 国V,上汽大众朗逸轮毂氧化售后不予质保,"H243,",2020-06-20,信息审核
486335,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国VI,一汽大众探岳大灯亮度不够透镜上有指纹,"H82,H60,",2020-06-20,处理反馈
486332,沃尔沃亚太,沃尔沃S60新能源,2015款 2.0T 智越版 E驱混动,沃尔沃S60新能源召回后空调问题频发,"H101,",2020-06-20,信息审核
486329,一汽-大众,速腾,2019款 200TSI 手动 舒适型 国VI,一汽大众速腾一挡起步时转速自动升高,"A35,",2020-06-20,处理反馈
486328,上汽集团,名爵HS,2019款 30T 自动 两驱 Trophy超燃版 国VI,上汽名爵HS发动机排放故障频发 动力消失,"A34,A255,B96,",2020-06-20,用户评分
486327,吉利汽车,帝豪GS,2018款 1.4T 自动 领潮版 领尚智联型,吉利帝豪GS 4S店私自收回购车合同,"K309,L313,",2020-06-20,处理反馈
486321,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L车身共振影响驾驶安全,"H268,",2020-06-20,信息审核
486318,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左前半轴有漏油现象,"G51,",2020-06-20,厂家受理
486314,奥迪（进口）,奥迪A1,2014款 30 TFSI Sportback 时尚型,进口奥迪A1变速箱机电单元故障引起故障灯亮,"B96,B84,",2020-06-20,信息审核
486312,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 舒适版 改款,进口Jeep指南者隔音棉问题导致车内异味,"H185,",2020-06-20,厂家受理
486311,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱报警 挡位缺失,"B19,B96,B84,",2020-06-20,处理反馈
486308,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际尊享版和高配氛围灯虚假宣传,"M279,",2020-06-20,处理反馈
486304,北汽新能源,北汽新能源EU5,2018款 EU5 R500 智尚版,北汽新能源EU5行驶时变速箱脱挡无法挂挡,"B20,B246,",2020-06-20,处理反馈
486302,猎豹汽车,猎豹CS10,2017款 2.0T 手动 风尚型,猎豹CS10转向时异响并且卡顿 刹车抖动,"D59,D123,E111,",2020-06-20,信息审核
486298,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾顶棚鼓包 大灯进雾 刹车盘生锈,"E42,H168,H88,",2020-06-20,处理反馈
486297,广汽本田,雅阁,2005款 2.4 自动 标准版,广汽本田雅阁吊拉设计的前悬挂存在安全隐患,"Q322,",2020-06-20,处理反馈
486296,北京奔驰,奔驰C级,2016款 200 L 运动型,北京奔驰C级空调系统无法调节温度影响使用,"H101,",2020-06-20,信息审核
486293,奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领臻版,奇瑞艾瑞泽5发动机生锈4S店不予解决,"A247,",2020-06-20,处理反馈
486288,吉利汽车,星越,2019款 改款 350T 驭星者AWD,吉利星越实车多项配置与厂家宣传不符,"M279,",2020-06-20,处理反馈
486287,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉新车车门出现下沉,"H149,",2020-06-20,厂家受理
486286,吉利汽车,帝豪,2018款 1.5L 手动 豪华型,吉利帝豪发动机油耗高一直未解决,"A85,",2020-06-20,处理反馈
486283,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 豪华型,长安CS75 PLUS车载微信缺失与宣传不符,"M279,",2020-06-20,处理反馈
486280,东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑发动机盖漆面开裂脱落,"H81,",2020-06-20,处理反馈
486279,广汽丰田,雷凌,2019款 185T CVT 运动版 国VI,广汽丰田雷凌变速箱换挡顿挫 转向异响,"B19,D59,",2020-06-20,厂家受理
486277,上汽通用五菱,宝骏360,2018款 1.5L 手动 精英型 国V,宝骏360更换的挡风玻璃漏水漏风4S店不解决,"I295,J303,",2020-06-20,处理反馈
486274,长安汽车,锐程CC,2020款 1.5T 自动 潮锐型,长安锐程CC行驶中突然熄火要求处理,"A14,",2020-06-20,处理反馈
486271,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机故障灯亮烧机油空调异响,"A34,A63,H101,",2020-06-20,处理反馈
486270,广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌后减震器出现漏油的现象,"G25,",2020-06-20,厂家受理
486268,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉方向盘锁死故障灯亮,"D123,D265,D291,",2020-06-20,厂家受理
486267,一汽红旗,红旗HS7,2019款 3.0T 自动 四驱 旗悦版,红旗HS7换挡机构故障导致P挡挂不上,"B184,",2020-06-20,信息审核
486266,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响严重,"B33,",2020-06-20,处理反馈
486262,广汽三菱,劲炫ASX,2018款 2.0L CVT 两驱 智橙版,广汽三菱劲炫触摸屏死机厂家未回复,"H134,",2020-06-20,厂家受理
486261,比亚迪,比亚迪e2,2019款 400出行版,比亚迪e2下雨天前挡风玻璃上的雾气无法吹干,"H101,",2020-06-20,处理反馈
486260,上汽大众,凌渡,2017款 230TSI 手动 风尚版,上汽大众凌渡一键升降失灵销售不管售后问题,"H67,I295,",2020-06-20,信息审核
486257,江铃汽车,域虎3,2018款 2.5T 四驱 进取版 长轴距 柴油,江铃域虎3底盘异响 SVS故障灯亮,"A34,G56,",2020-06-20,厂家受理
486255,东风日产,骐达TIIDA,2020款 1.6L CVT 智行版,东风日产骐达减震器漏油售后服务态度差,"G25,I293,",2020-06-20,处理反馈
486254,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机存在金属撞击声,"A9,",2020-06-20,信息审核
486252,上汽集团,名爵6,2019款 20T 自动 运动版,上汽名爵6保养后异响且存在汽油味,"A9,J300,",2020-06-20,处理反馈
486251,一汽-大众,宝来,2019款 1.5L 手动 舒适型,一汽大众宝来发动机故障灯亮 离合器异响,"A34,C65,",2020-06-20,用户评分
486250,吉利汽车,缤瑞,2019款 200T DCT 缤驰版,吉利缤瑞变速箱油封损坏导致漏油,"B22,",2020-06-20,处理反馈
486249,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越厂家涉嫌欺诈不予升级车机系统,"E43,H168,L314,M284,",2020-06-20,处理反馈
486248,广汽丰田,凯美瑞,2018款 2.0G 自动 豪华版,广汽丰田凯美瑞正常行驶中天窗异响,"H89,",2020-06-20,厂家受理
486246,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响并且明显卡顿,"D59,D123,",2020-06-20,信息审核
486242,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯白内障模糊不清存在隐患,"H82,",2020-06-19,处理反馈
486241,上汽大众,途观L,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L左后轮偏磨吃胎 四缸漏油,"A12,G245,",2020-06-19,信息审核
486240,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 舒适型 三厢,长安马自达昂克赛拉行驶过程中空调不制冷,"H101,",2020-06-19,厂家受理
486239,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,吉利缤越导航无法定位 倒车镜风噪大,"H155,H211,L314,",2020-06-19,处理反馈
486237,东风本田,本田CR-V,2017款 240TURBO 自动 两驱 都市版,东风本田CR-V变速箱渗油希望尽快解决,"B22,",2020-06-19,用户评分
486235,吉利汽车,博瑞,2020款 1.5T MHEV 耀享版,吉利博瑞旧车置换补贴款承诺不兑现,"L313,",2020-06-19,处理反馈
486234,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越原地打方向异响 无挡位灯及雾灯,"D59,M279,",2020-06-19,处理反馈
486233,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾低速加速时变速箱存在口哨声,"B33,",2020-06-19,处理反馈
486232,观致汽车,观致5,2018款 1.6T 自动 尊贵型,观致5换挡逻辑混乱且变速箱脱挡,"B246,B69,",2020-06-19,信息审核
486227,一汽-大众,高尔夫·嘉旅,2016款 1.6L 自动 舒适型,一汽大众高尔夫嘉旅变速箱故障灯亮,"B96,",2020-06-19,处理反馈
486224,北京奔驰,奔驰C级,2020款 C 260 运动版,北京奔驰C级韩泰轮胎容易鼓包破损,"F39,",2020-06-19,信息审核
486222,一汽-大众奥迪,奥迪Q2L,2020款 35TFSI 时尚动感型,一汽大众奥迪Q2L变速箱异响要求解决,"B33,",2020-06-19,信息审核
486221,上汽大众,朗逸,2013款 1.6L 自动 经典风尚版,上汽大众朗逸车内异味严重无法解决,"H185,",2020-06-19,信息审核
486220,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳车灯进水干燥后有水印,"H88,",2020-06-19,处理反馈
486218,Jeep（进口）,指南者（进口）,2014款 2.0L 自动 两驱 运动版,进口Jeep指南者车内异味严重无法散去,"H185,",2020-06-19,厂家受理
486215,广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,广汽本田皓影销售承诺不兑现 不给合同,"I293,L313,O353,",2020-06-19,处理反馈
486214,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机漏油 漏防冻液,"A12,A37,",2020-06-19,处理反馈
486213,领克汽车,领克03,2019款 2.0TD 自动 劲Pro版,领克03故障灯亮 4S店错误判断维修,"A34,J303,",2020-06-19,用户评分
486208,路虎进口,揽胜星脉,2019款 250PS R-DYNAMIC S,路虎揽胜星脉颠簸路车内低频共鸣压耳,"H268,",2020-06-19,处理反馈
486206,吉利汽车,星越,2020款 350T 驭星者AWD,吉利星越车机系统存在虚假宣传 空调异味,"H121,M279,",2020-06-19,处理反馈
486200,一汽-大众,宝来,2019款 1.5L 自动 舒适型,一汽大众宝来行驶中有晃动跳动现象,"G162,",2020-06-19,用户评分
486194,一汽-大众,速腾,2014款 1.4TSI 自动 时尚型,一汽大众速腾前挡风玻璃自然开裂,"H113,",2020-06-19,处理反馈
486191,广汽本田,缤智,2020款 1.5L CVT 先锋版,广汽本田缤智油箱口附近漆面脱落,"H81,",2020-06-19,处理反馈
486190,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越4S店喷漆质量差导致起泡,"J303,",2020-06-19,处理反馈
486188,东风雪铁龙,世嘉,2011款 1.6 自动 时尚型 三厢,东风雪铁龙世嘉3挡锁死提示变速箱故障,"B96,B84,",2020-06-19,处理反馈
486187,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408四个轮毂不同程度氧化,"H243,",2020-06-19,处理反馈
486186,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸前挡风玻璃无故开裂,"H113,",2020-06-19,信息审核
486185,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯里面有雾气不予解决,"H88,",2020-06-19,处理反馈
486184,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁机油增多超过标尺上限,"A339,",2020-06-19,处理反馈
486183,华晨宝马,宝马5系,2014款 528Li 领先型,华晨宝马5系左前大灯脱皮影响驾驶,"H220,",2020-06-19,信息审核
486182,东风乘用车,风神AX7,2019款 1.6T 自动 AI领航型 国V,东风风神AX7转向异响 开关车门异响,"D59,H72,",2020-06-19,处理反馈
486181,新特汽车,SITECH DEV 1,2018款 创睿版,新特SITECH DEV 1无法启动4S店无配件更换,"N318,",2020-06-19,信息审核
486178,东风乘用车,风神AX7,2018款 1.6T 自动 豪华型,东风风神AX7踩油门加速时发动机无动力,"A163,",2020-06-19,用户评分
486177,一汽丰田,威驰FS,2017款 1.5L CVT 锋驰版,一汽丰田威驰FS正副驾车门有断裂现象,"H168,",2020-06-19,信息审核
486176,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机卡顿 转向时存在异响,"D59,M279,",2020-06-19,处理反馈
486173,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾怠速时发动机偶尔抖动,"A24,",2020-06-19,处理反馈
486170,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度启动后存在打齿声音,"A9,",2020-06-19,处理反馈
486166,吉利汽车,经典帝豪,2013款 1.5L 手动 进取型 三厢,吉利经典帝豪车身生锈 行驶时变速箱异响,"B33,H79,H220,",2020-06-19,处理反馈
486165,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 尊贵型,长安CS75 PLUS导航定位不准确发生偏移,"H21,",2020-06-19,处理反馈
486163,吉利汽车,星越,2019款 300T 耀星者,吉利星越方向左偏 车机黑屏并且死机,"G117,H155,M279,",2020-06-19,处理反馈
486162,广汽丰田,汉兰达,2018款 2.0T 四驱 骑士版 7座 国VI,广汽丰田汉兰达升级的多媒体系统与宣传不符,"M279,",2020-06-19,厂家受理
486154,奔驰（进口）,奔驰GLE,2018款 GLE 400 4MATIC 臻藏版,进口奔驰GLE车内异味希望厂家处理问题,"H185,",2020-06-19,信息审核
486151,长安汽车,长安CS75 PLUS,2020款 2.0T 自动 领航型,长安CS75 PLUS车载微信功能与宣传不符,"M279,",2020-06-19,处理反馈
486149,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱异响燃油泵声音大,"B33,H78,",2020-06-19,处理反馈
486148,长安跨越,新豹T3,2018款 1.2L 舒适型 单排 后单轮 标准货箱,长安跨越新豹T3配件质量差要求退换车,"N317,",2020-06-19,处理反馈
486146,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸刹车时前轮位置存在异响,"E43,",2020-06-19,信息审核
486144,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越挡位指示灯与厂家宣传不符,"M279,",2020-06-19,处理反馈
486143,上汽集团,名爵6,2017款 20T 自动 Trophy尊享互联网版 国V,上汽名爵6电瓶亏电希望尽快处理,"H146,",2020-06-19,用户评分
486142,沃尔沃亚太,沃尔沃S60,2017款 2.0T T4 智远版,亚太沃尔沃S60高压油泵故障导致故障灯亮,"A34,H78,",2020-06-19,信息审核
486140,吉利汽车,博越,2016款 1.8TD 自动 两驱 智慧型,吉利博越四个轮毂发生不同程度氧化,"H243,",2020-06-19,处理反馈
486136,东风日产,楼兰,2015款 2.5L 两驱 智尚版 XL,东风日产楼兰变速箱压力控制阀故障,"B84,",2020-06-19,处理反馈
486135,上汽大众,途安,2018款 途安L 280TSI DSG 舒适版 7座 国VI,上汽大众途安启停失灵自动驻车失灵故障灯亮,"E159,H170,",2020-06-19,信息审核
486133,上汽通用五菱,宝骏E100,2019款 250KM 智行版,宝骏E100车身掉漆 偶尔无法换挡,"B20,H81,",2020-06-19,处理反馈
486131,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏大面积开裂,"H134,H168,",2020-06-19,厂家受理
486128,一汽-大众奥迪,奥迪Q5,2016款 40 TFSI 进取型,一汽大众奥迪Q5车内异味召回后依然很大,"H185,Q323,",2020-06-19,信息审核
486127,吉利汽车,帝豪,2017款 1.5L 手动 向上互联版 三厢 百万款,吉利帝豪打方向盘时有异响一直未解决,"D59,",2020-06-19,处理反馈
486125,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳中控死机 赠送保养承诺不兑现,"H134,I295,L313,N317,",2020-06-19,处理反馈
486122,一汽-大众,宝来,2019款 改款 1.5L 手动 舒适型 国VI,一汽大众宝来天窗密封条损坏希望保修,"H48,",2020-06-19,处理反馈
486117,捷豹,捷豹F-PACE,2019款 2.0T 四驱 都市尊享版,捷豹F-PACE经销商销售维修过的问题车,"M284,",2020-06-19,用户评分
486115,一汽-大众奥迪,奥迪Q5,2010款 2.0TFSI  双离合 舒适型,一汽大众奥迪Q5变速箱功能失效无法挂挡,"B20,B96,",2020-06-19,信息审核
